CITIZENSHIP	GENDER	Race	DEGREE	INST1	INST1_MAJOR	O_INST1_GPA	O_GRE_V	O_GRE_Q	O_TOEFL_SCORE	PERM_CITY	PERM_STATE	PERM_ZIP
IN	M	B	Mase	ChisCllege	Psychlgy	0	470	640	253	IBKJayaaga	0	560011
IN	F	O	Dcal	MiesaSaeUivesiy,Maka	IdusialOgaizaialPsychlgy	4	470	640	0	Maka	0	56001
C1	F	W	Dcal	UivesiyfCalgay	Psychlgy	0	600	700	0	Calgay	0	T3E6L5
WE	M	N	Dcal	NewYkUivesiy	RehabiliaiCuselig	3.5	320	580	257	Washig	0	20036
KS	F	N	Dcal	KeaUivesiy	EglishEducaiadPsychlgy	0	670	780	260	Seul	0	153013
TW	F	O	Dcal	UivesiyfRhdeIslad	SchlPsychlgy	0	370	740	223	Tay	0	334
IN	F	O	Dcal	IVERSITYOFMUMBAI	PSYCHOLOGY	0	380	700	263	THANEWEST	0	400602
RO	F	N	Dcal	Al.I.CuzaUivesiy	Psychlgy	0	570	620	247	0	0	0
US	F	N	Dcal	TheUivesiyfTeesseeaMaiMaiT	Psychlgy	3.9	460	470	0	Claksville	TN	37043
US	F	O	Dcal	UivesiyfAlama	Psychlgy	3.8	570	590	0	Nhp	AL	35473
US	M	W	Dcal	LipscmbUivesiy	Psychlgy	3.7	600	660	0	Meplis	IL	62960
US	F	W	Dcal	uivesiyfflida	psychlgy	2.9	330	600	0	miami	FL	33176
US	M	W	Dcal	HueCllege	Psychlgy	3.7	520	580	0	Flushig	NY	11365
US	F	W	Dcal	YugswSaeUivesiy	Psychlgy	3.4	490	630	0	Wae	OH	44483
US	F	B	Dcal	DilladUivesiy	Psychlgy	3.6	480	660	0	Memphis	TN	38115
US	M	W	Dcal	MississippiSaeUivesiy	Psychlgy	3.5	650	260	0	Sakville	MS	39759
US	F	W	Dcal	FlidaSaeUivesiy	Psychlgy	4	570	560	0	Tallahassee	FL	32308
US	F	O	Dcal	TheUivesiyfGegia	Psychlgy	3.8	530	710	0	Laweceville	GA	30044
US	F	W	Dcal	MiesaSaeUivesiy,Maka	Psychlgy	3.9	450	550	0	Blmig	MN	55438
US	M	W	Dcal	SaJseSaeUivesiy	Psychlgy	3.7	640	500	0	Reddig	CA	96001
US	F	W	Dcal	UivesiyfAkasas	Psychlgy	3.8	380	620	0	Jesb	AR	72401
US	F	W	Dcal	ChisiaBhesUivesiy	Psychlgy	3.6	410	510	0	Memphis	TN	38107
US	F	W	Dcal	UivesiyfAkasas	Psychlgy	3.8	380	480	0	LileRck	AR	72212
US	F	W	Dcal	ClemsUivesiy	Psychlgy	3.5	480	670	0	Chale	NC	28270
US	F	H	Dcal	VadebilUivesiy	ClaiePefmaceadPsychlgy	3.3	550	690	0	TheWdlads	TX	77381
US	M	W	Dcal	S.AdewsPesbyeiaCllege	PsychlgyadPhilsphy	3.6	640	480	0	Spigfield	VA	22153
US	M	W	Dcal	MillesvilleUivesiy	ClicalPsychlgy	4	610	490	0	Lacase	PA	17602
US	F	N	Dcal	SpigHIllCllege	Psychlgy	3.5	440	560	0	Mbile	AL	36609
US	F	W	Mase	UivesiyfAlamaaBimigham	Psychlgy	3.3	360	420	0	Bimigham	AL	35209
US	F	W	Mase	GadsdeSaeCmmuiyCllege	0	3.6	360	510	0	Suhside	AL	35907
US	F	W	Mase	TulaeUivesiy	Psychlgy	2.9	330	630	0	Miami	FL	33133
US	M	W	Dcal	GulfCasCmmuiyCllege	Psychlgy	3.7	540	610	0	Gaiesville	FL	32606
US	M	H	Dcal	SeHallUivesiy	CuseligPsychlgy	3.8	420	610	0	Ak	OH	44304
US	F	H	Mase	AubuUivesiy	Psychlgy	3.8	480	570	0	Idiaaplis	IN	46220
US	F	W	Dcal	LychbugCllege	PSy	3.2	530	600	0	Rchese	NY	14610
US	F	O	Mase	NaialChugHsigUivesiy	ScialWk	0	300	620	0	Opelika	AL	36801
US	F	W	Mase	UivesiyfFlida	Psychlgy	3.8	410	670	0	PSLucie	FL	34984
US	M	W	Mase	UahSaeUivesiy	Psychlgy	3.4	630	560	0	Aubu	AL	36830
US	F	W	Mase	SamfdUivesiy	PsychlgyadSpaish	0	400	480	0	Bimigham	AL	35210
US	M	W	Dcal	UivesiyfGegia	Psychlgy	3.2	490	600	0	Maiea	GA	30066
US	F	W	Dcal	IwaCealCmmuiyCllege	HighSchlDlCediCuses	4	460	720	0	WebseCiy	IA	50595
US	F	B	Dcal	PiceUivesiy	Psychlgy	2.7	530	480	0	Bkly	NY	11205
US	F	W	Dcal	UivesiyfMiss	Psyc	3.1	390	570	0	Maiea	GA	30066
US	F	B	Dcal	GambligSaeUivesiy	Psychlgy	3.8	410	580	0	Meidia	MS	39301
US	F	W	Mase	UivesiyfFlida	Psychlgy	3.5	450	620	0	NewPRichey	FL	34653
US	M	W	Dcal	MacaleseUivesiy	Psychlgy	3.3	510	660	0	SaiPaul	MN	55105
US	M	W	Dcal	MississippiSaeUivesiy	Psychlgy	3.3	520	590	0	Sakville	MS	39759
US	F	W	Dcal	TexasTechUivesiy	Psychlgy	3.5	460	730	0	Yacey	TX	78886
US	F	W	Dcal	UivesiyfMIchiga	Psychlgy	0	350	550	0	DeabHeighs	MI	48125
US	F	W	Dcal	MississippiSaeUivesiy	Psychlgy	3.8	550	590	0	Sha	MS	38868
US	F	W	Dcal	WeseKeuckyUivesiy	PsychlgyadScilgy	3.5	440	510	0	Vesailles	KY	40383
US	M	W	Dcal	UivesiyfMississippi	Psychlgy	2.9	510	630	0	Amy	MS	38821
US	M	I	Dcal	BlackHillsSaeUiv.	Psychlgy	3.1	460	560	0	Hve	AL	35244
US	F	W	Dcal	TeesseeTechlgicalUivesiy	Psychlgy	3.3	500	590	0	Gaiesb	TN	38562
US	F	W	Dcal	BadleyUivesiy	Psychlgy	4	490	560	0	CeveCeu	IL	61610
US	F	W	Dcal	UivesiyfFlida	Psychlgy	3.7	520	480	0	WieHave	FL	33880
0	F	N	Dcal	UivesiyfTulsa	IdusailOgaizaiPsyclgy	3.7	460	530	0	Tulsa	OK	74119
0	M	B	Dcal	RhdesCllege	PsychlgyadPhilsphy	2.5	470	600	0	Alaa	GA	30331
0	F	N	Dcal	Uiv.fMissuiaK.C.	a	4	570	570	0	KasasCiy	MO	64131
0	F	N	Dcal	UivesiyfAlama	Psychlgy	3.6	580	650	0	She	AL	36075
0	F	H	Dcal	TuskegeeUiv.	Psy	2.9	400	430	0	Tampa	FL	33626
0	F	N	Dcal	CapeFeaCmmuiyCllege	LibealAsAssc.	3.7	550	560	0	Wilmig	NC	28409
0	M	W	Dcal	UivesiyfCealFlida	SchlPsychlgy	4	460	450	0	WiePak	FL	32792
0	M	W	Dcal	TeesseeTechUiv.	Psychlgy	3.7	630	600	0	Ckeville	TN	38501
0	F	W	Dcal	OhiUivesiy	Psychlgy	3.6	630	550	0	Hllad	OH	43528
0	F	B	Dcal	Uiv.fMemphis	Psy	3.6	620	490	0	Miami	FL	38115
0	F	W	Dcal	VadebilUivesiy	PsychlgyadChildDevelpme	3	570	520	0	SaaClaus	IN	47579
0	M	W	Dcal	Uiv.NhFl	Psy	3.7	400	580	0	Jacksville	FL	32256
0	F	W	Dcal	AubuUiv	Psy	3.9	500	540	0	Husville	AL	35801
0	F	W	Dcal	UivesiyfVigiia	Psychlgy	3.5	550	750	0	Salem	VA	24153
0	M	W	Dcal	SamHusSaeUivesiy	Psychlgy	3.6	620	690	0	Husville	TX	77340
0	F	W	Dcal	Uiv.fCealFL	Psy	3.6	510	520	0	Davie	FL	33325
0	M	W	Dcal	UiedSaesIeaialUiv.	IdusialOgaizaialPsy	3.9	600	700	0	Aveua	FL	33180
0	F	N	Dcal	PeppedieUivesiy	Psychlgy	3.9	510	540	0	Mpak	CA	93021
0	F	W	Dcal	RllisCllege	Psychlgy	3.7	580	620	0	LakeWh	FL	33463
0	F	W	Dcal	NheIlliisUivesiy	0	3.7	590	670	0	Whea	IL	60187
0	F	B	Dcal	SPELMANCOLLEGE	PSYCHOLOGY	3.7	580	590	0	CHINOHILLS	CA	91709
0	M	W	Dcal	SpigHillCllege	PsychlgyadTheae	0	570	480	0	Meaiie	LA	70001
0	M	W	Dcal	UahSaeUivesiy	Psychlgy	3.8	480	580	0	Lewis	UT	84320
0	F	W	Dcal	WffdCllege	PsychlgyadGveme	3	490	570	0	Raleigh	NC	27615
US	F	W	Dcal	NewYkUivesiy	Psychlgy	4	610	590	0	Blmig	IN	47408
0	F	W	Dcal	AlamaSuheCmmuiyClege	asfe	0	520	490	0	Tuscalsa	AL	35405
0	F	W	Dcal	UCLA	Psychlgy	4	640	680	0	Campbell	CA	95008
0	F	W	Dcal	WeseCaliaUivesiy	CliicalPsychlgy	3.7	510	450	0	FeadiaBeach	FL	32034
US	F	W	Dcal	WideeUivesiy	Psychlgy	3.7	540	650	0	As	PA	19014
US	F	N	Dcal	AubuUivesiy	Psychlgy	3	390	380	0	Besseme	AL	35020
